,UPRN,OS_ADDRESS_TO_ID,UDPRN,ORGANISATION_NAME,DEPARTMENT_NAME,PO_BOX_NUMBER,SUB_BUILDING_NAME,BUILDING_NAME,BUILDING_NUMBER,DEPENDENT_THOROUGHFARE,THOROUGHFARE,POST_TOWN,DOUBLE_DEPENDENT_LOCALITY,DEPENDENT_LOCALITY,POSTCODE,POSTCODE_TYPE,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE,RPC,COUNTRY,CHANGE_TYPE,LA_START_DATE,RM_START_DATE,LAST_UPDATE_DATE,CLASS,recnos
255,100040237177,osgb1000002274392221,8754089,,,,,,148.0,,TOPSHAM ROAD,EXETER,,,EX2 4RG,S,293009.0,91406.0,50.7123973,-3.516769,1,E,I,2007-10-24,2012-03-19,2015-08-23,R,0
2038,100040237169,osgb1000002274376896,8754083,,,,,,136.0,,TOPSHAM ROAD,EXETER,,,EX2 4RG,S,292978.0,91438.0,50.712679200000004,-3.5172171999999997,1,E,I,2007-10-24,2012-03-19,2015-08-23,R,1
2404,100040237172,osgb1000002274376931,8754086,,,,,,142.0,,TOPSHAM ROAD,EXETER,,,EX2 4RG,S,292992.0,91424.0,50.712556,-3.5170149,1,E,I,2007-10-24,2012-03-19,2015-08-23,R,2
22452,100040237170,osgb1000002274376929,8754084,,,,,,138.0,,TOPSHAM ROAD,EXETER,,,EX2 4RG,S,292982.0,91434.0,50.712644,-3.5171593999999997,1,E,I,2007-10-24,2012-03-19,2015-08-23,R,3
22905,100040237166,osgb1000002274376897,8754082,,,,,,134.0,,TOPSHAM ROAD,EXETER,,,EX2 4RG,S,292972.0,91444.0,50.7127321,-3.5173038999999995,1,E,I,2007-10-24,2012-03-19,2015-08-23,R,4
30420,100040237175,osgb1000002274376952,8754088,,,,,,146.0,,TOPSHAM ROAD,EXETER,,,EX2 4RG,S,293004.0,91412.0,50.71245029999999,-3.5168415,1,E,I,2007-10-24,2012-03-19,2015-08-23,R,5
33966,100040237173,osgb1000002274376949,8754087,,,,,,144.0,,TOPSHAM ROAD,EXETER,,,EX2 4RG,S,292997.0,91418.0,50.7125029,-3.5169424,1,E,I,2007-10-24,2012-03-19,2015-08-23,R,6
34749,100040237171,osgb1000002274376932,8754085,,,,,,140.0,,TOPSHAM ROAD,EXETER,,,EX2 4RG,S,292987.0,91428.0,50.712590999999996,-3.5170867999999995,1,E,I,2007-10-24,2012-03-19,2015-08-23,R,7
34750,100040237179,osgb1000002274392220,8754090,,,,,,150.0,,TOPSHAM ROAD,EXETER,,,EX2 4RG,S,293013.0,91404.0,50.712379999999996,-3.5167117999999995,1,E,I,2007-10-24,2012-03-19,2015-08-23,R,8
37468,100040237181,osgb1000002274392282,8754091,,,,,,152.0,,TOPSHAM ROAD,EXETER,,,EX2 4RG,S,293035.0,91410.0,50.712438,-3.516402,1,E,I,2007-10-24,2012-03-19,2015-08-23,R,9
39162,100040237164,osgb1000002274376898,8754081,,,,,,132.0,,TOPSHAM ROAD,EXETER,,,EX2 4RG,S,292965.0,91450.0,50.7127847,-3.5174046999999997,1,E,I,2007-10-24,2012-03-19,2015-08-23,R,10
