LMK_KEY,ADDRESS1,ADDRESS2,ADDRESS3,POSTCODE,BUILDING_REFERENCE_NUMBER,CURRENT_ENERGY_RATING,POTENTIAL_ENERGY_RATING,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,PROPERTY_TYPE,BUILT_FORM,INSPECTION_DATE,LOCAL_AUTHORITY,CONSTITUENCY,COUNTY,LODGEMENT_DATE,TRANSACTION_TYPE,ENVIRONMENT_IMPACT_CURRENT,ENVIRONMENT_IMPACT_POTENTIAL,ENERGY_CONSUMPTION_CURRENT,ENERGY_CONSUMPTION_POTENTIAL,CO2_EMISSIONS_CURRENT,CO2_EMISS_CURR_PER_FLOOR_AREA,CO2_EMISSIONS_POTENTIAL,LIGHTING_COST_CURRENT,LIGHTING_COST_POTENTIAL,HEATING_COST_CURRENT,HEATING_COST_POTENTIAL,HOT_WATER_COST_CURRENT,HOT_WATER_COST_POTENTIAL,TOTAL_FLOOR_AREA,ENERGY_TARIFF,MAINS_GAS_FLAG,FLOOR_LEVEL,FLAT_TOP_STOREY,FLAT_STOREY_COUNT,MAIN_HEATING_CONTROLS,MULTI_GLAZE_PROPORTION,GLAZED_TYPE,GLAZED_AREA,EXTENSION_COUNT,NUMBER_HABITABLE_ROOMS,NUMBER_HEATED_ROOMS,LOW_ENERGY_LIGHTING,NUMBER_OPEN_FIREPLACES,HOTWATER_DESCRIPTION,HOT_WATER_ENERGY_EFF,HOT_WATER_ENV_EFF,FLOOR_DESCRIPTION,FLOOR_ENERGY_EFF,FLOOR_ENV_EFF,WINDOWS_DESCRIPTION,WINDOWS_ENERGY_EFF,WINDOWS_ENV_EFF,WALLS_DESCRIPTION,WALLS_ENERGY_EFF,WALLS_ENV_EFF,SECONDHEAT_DESCRIPTION,SHEATING_ENERGY_EFF,SHEATING_ENV_EFF,ROOF_DESCRIPTION,ROOF_ENERGY_EFF,ROOF_ENV_EFF,MAINHEAT_DESCRIPTION,MAINHEAT_ENERGY_EFF,MAINHEAT_ENV_EFF,MAINHEATCONT_DESCRIPTION,MAINHEATC_ENERGY_EFF,MAINHEATC_ENV_EFF,LIGHTING_DESCRIPTION,LIGHTING_ENERGY_EFF,LIGHTING_ENV_EFF,MAIN_FUEL,WIND_TURBINE_COUNT,HEAT_LOSS_CORRIDOOR,UNHEATED_CORRIDOR_LENGTH,FLOOR_HEIGHT,PHOTO_SUPPLY,SOLAR_WATER_HEATING_FLAG,MECHANICAL_VENTILATION,ADDRESS,LOCAL_AUTHORITY_LABEL,CONSTITUENCY_LABEL,CERTIFICATE_HASH
2.07687020090107E+020,"8, Danes Road",,,EX4 4LS,4539616568,C,C,70,78,House,Mid-Terrace,2009-01-07,E07000041,E14000698,Devon,2009-01-07,rental (private),67,75,215,159,3.6,36,2.7,91,48,475,368,96,96,99.79,Single,Y,NO DATA!,,,"Programmer, TRVs and boiler energy manager",100,double glazing installed during or after 2002,Normal,0,6,6,10,0,From main system,Very Good,Very Good,"Suspended, no insulation (assumed)",,,Fully double glazed,Good,Good,"Cavity wall, as built, no insulation (assumed)",Poor,Poor,None,,,"Pitched, 250 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Very Good,Very Good,"Programmer, TRVs and boiler energy manager",Good,Good,Low energy lighting in 10% of fixed outlets,Poor,Poor,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.68,0,N,natural,"8, Danes Road",Exeter,Exeter,9dfea1e5294335c44df3033f615d47603235563ba413e636fd50f38e3808c912
8.65641520130322E+020,12 Admiral Way,,,EX2 7GA,617283078,B,B,82,82,House,Mid-Terrace,2013-03-22,E07000041,E14000678,Devon,2013-03-22,new dwelling,86,86,92,92,1.2,17,1.2,41,41,232,232,72,72,67,standard tariff,,NO DATA!,,,Time and temperature zone control,,NO DATA!,NO DATA!,,,,,,From main system,Good,Good,Average thermal transmittance 0.16 W/m?K,Very Good,Very Good,High performance glazing,Very Good,Very Good,Average thermal transmittance 0.22 W/m?K,Very Good,Very Good,None,,,Average thermal transmittance 0.11 W/m?K,Very Good,Very Good,"Boiler and radiators, mains gas",Good,Good,Time and temperature zone control,Very Good,Very Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas - this is for backwards compatibility only and should not be used,,NO DATA!,,,,,NO DATA!,12 Admiral Way,Exeter,East Devon,307020ddef268c7643fa755621760932b5f94ba95d84b72ca40bab8d5f7554cb
1.41838492016031E+021,"41, Coates Road",,,EX2 5RW,3439092478,F,B,24,85,House,Mid-Terrace,2016-03-07,E07000041,E14000678,Devon,2016-03-07,ECO assessment,35,62,413,192,7,70,3.2,72,80,1651,460,343,100,100,Single,N,NODATA!,,,None,100,"double glazing, unknown install date",Normal,0,5,0,85,0,"Electric immersion, standard tariff",Very Poor,Poor,"Solid, no insulation (assumed)",NO DATA!,,Fully double glazed,Average,Average,"Cavity wall, filled cavity",Good,Good,None,,,"Flat, limited insulation (assumed)",Very Poor,Very Poor,No system present: electric heaters assumed,Very Poor,Poor,None,Very Poor,Very Poor,Low energy lighting in 85% of fixed outlets,Very Good,Very Good,To be used only when there is no heating/hot-water system,0,NO DATA!,,,,N,natural,"41, Coates Road",Exeter,East Devon,67430ec805c94792c1eab8939b0f5ae9253533c75f6cc8607a9c294a2bf6e0d7
1.46988420080925E+020,"124, Whipton Lane",,,EX1 3DL,5726711568,E,C,54,69,House,Semi-Detached,2008-09-24,E07000041,E14000698,Devon,2008-09-25,rental (private),48,64,361,247,5.2,61,3.6,70,39,645,458,93,80,86.18,Single,Y,NO DATA!,,,"Programmer, TRVs and bypass",100,double glazing installed before 2002,Normal,1,5,5,20,0,From main system,Good,Good,"Suspended, no insulation (assumed)",,,Fully double glazed,Average,Average,"Cavity wall, as built, no insulation (assumed)",Poor,Poor,"Room heaters, mains gas",,,"Pitched, 150 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, TRVs and bypass",Poor,Poor,Low energy lighting in 20% of fixed outlets,Poor,Poor,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.51,0,N,natural,"124, Whipton Lane",Exeter,Exeter,81356ccf0a3416f971c4b10c60347440b3a0ed0cc35039a2247f3c80c2f7cb7c
3.62374200810311E+019,"8, Mont le Grand",,,EX1 2PD,4211423468,F,F,24,37,House,End-Terrace,2008-10-11,E07000041,E14000698,Devon,2008-10-31,rental (private),29,43,489,374,24,70.8,17,296,156,3357,2672,232,167,368.08,Single,Y,NO DATA!,,,"Programmer, room thermostat and TRVs",0,INVALID!,Normal,0,11,11,10,3,From main system,Average,Good,"Suspended, no insulation (assumed)",,,Single glazed,Very Poor,Very Poor,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Room heaters, wood logs",,,"Pitched, 150mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Average,Good,"Programmer, room thermostat and TRVs",Average,Average,Low energy lighting in 10% of fixed outlets,Poor,Poor,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.8,0,N,natural,"8, Mont le Grand",Exeter,Exeter,146e3c04641fa03eac5f5999711915e4bf2e1e82c2bbd965cf3f01cff95805ed
3.66084820090918E+020,"5, Dunsford Road",,,EX4 1LF,2922267668,D,C,63,75,House,Semi-Detached,2009-09-18,E07000041,E14000698,Devon,2009-09-18,marketed sale,57,71,285,191,4.3,48,2.9,68,46,529,421,217,118,103.32,Single,Y,NO DATA!,,,"Programmer, room thermostat and TRVs",100,double glazing installed before 2002,Normal,0,5,5,50,0,"From main system, no cylinderstat",Poor,Average,"Suspended, no insulation (assumed)",,,Fully double glazed,Average,Average,"Cavity wall, filled cavity",Good,Good,"Room heaters, mains gas",,,"Pitched, 250 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Average,Good,"Programmer, room thermostat and TRVs",Average,Average,Low energy lighting in 50% of fixed outlets,Good,Good,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.37,0,N,natural,"5, Dunsford Road",Exeter,Exeter,850dd5b1793b115f77aeb92dcee76b447f896654b3d3fe790d9090b1dffe24da
3.64481720100119E+020,"124, Honiton Road",,,EX1 3EW,7392647668,D,D,55,57,House,Semi-Detached,2010-01-19,E07000041,E14000698,Devon,2010-01-19,marketed sale,45,45,345,342,10.1,53.1963668,10.1,188,114,1084,1106,209,209,213.28,dual,Y,NO DATA!,,,Automatic charge control,100,double glazing installed before 2002,Normal,1,8,4,35,0,From secondary system,Good,Good,"Solid, no insulation (assumed)",,,Fully double glazed,Average,Average,"Cavity wall, filled cavity",Good,Good,"Room heaters, mains gas",,,"Pitched, 200 mm loft insulation",Good,Good,Electric storage heaters,Poor,Very Poor,Automatic charge control,Average,Average,Low energy lighting in 35% of fixed outlets,Average,Average,electricity - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.8,0,Y,natural,"124, Honiton Road",Exeter,Exeter,1f6d6a7ec7cf27a1516dfd23d35549cc2e01b9bcbbd690039cd6139e144244d5
3.20717520090718E+020,2 St Lukes View,Countess Wear Road,,EX2 6DG,7489344668,B,B,83,84,House,Mid-Terrace,2009-07-18,E07000041,E14000698,Devon,2009-07-18,new dwelling,82,83,108,103,2.3,18,2.2,99,69,288,292,121,121,128,standard tariff,,NO DATA!,,,Time and temperature zone control,,NO DATA!,NO DATA!,,,,,,From main system,Very Good,Very Good,Average thermal transmittance 0.22 W/m?K,Good,Good,Fully double glazed,Very Good,Very Good,Average thermal transmittance 0.29 W/m?K,Very Good,Very Good,"Room heaters, mains gas",,,Average thermal transmittance 0.20 W/m?K,Good,Good,"Boiler and underfloor heating, mains gas",Very Good,Very Good,Time and temperature zone control,Good,Good,Low energy lighting in 55% of fixed outlets,Good,Good,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.4,,,NO DATA!,"2 St Lukes View, Countess Wear Road",Exeter,Exeter,4451da9c87f6241f1ffcb8d19cb2f7367f220dd9f4d381bfe93468b2a2edbfcb
1.23744402014112E+021,"72, Thackeray Road",,,EX4 8EX,1075310378,D,B,60,87,House,Semi-Detached,2014-11-18,E07000041,E14000698,Devon,2014-11-18,non marketed sale,57,88,231,47,3.7,44,0.8,85,52,553,361,260,89,83,Single,Y,NODATA!,,,"Programmer, no room thermostat",100,double glazing installed during or after 2002,Normal,0,4,4,36,0,"From main system, no cylinder thermostat",Poor,Poor,"Solid, no insulation (assumed)",,,Fully double glazed,Good,Good,"Cavity wall, filled cavity",Good,Good,"Room heaters, mains gas",,,"Pitched, 250 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, no room thermostat",Very Poor,Very Poor,Low energy lighting in 36% of fixed outlets,Average,Average,mains gas (not community),0,NO DATA!,,,0,,natural,"72, Thackeray Road",Exeter,Exeter,4720244434b987b2802920588237be64419c9a410e452bb4977c2460a9df043a
2.0240020080723E+019,4 Margaret Court,,,EX4 8AP,6955539468,B,B,83,85,Flat,NO DATA!,2008-07-23,E07000041,E14000698,Devon,2008-07-23,not recorded,83,84,132,125,1.4,-99,1.3,48,30,159,161,65,65,0,NO DATA!,,NO DATA!,,,SAP05:Main-Heating-Controls,,NO DATA!,NO DATA!,,,,,,SAP05:Hot-Water,,,SAP05:Floor,,,SAP05:Windows,,,SAP05:Walls,,,SAP05:Secondary-Heating,,,SAP05:Roof,,,SAP05:Main-Heating,,,SAP05:Main-Heating-Controls,,,SAP05:Lighting,,,NO DATA!,,NO DATA!,,,,,NO DATA!,4 Margaret Court,Exeter,Exeter,845629a1fe653aaf1f387d1de98b4a6ad4d3b730f6f232b8f77690de91b2f0e5
