,UPRN,OS_ADDRESS_TO_ID,UDPRN,ORGANISATION_NAME,DEPARTMENT_NAME,PO_BOX_NUMBER,SUB_BUILDING_NAME,BUILDING_NAME,BUILDING_NUMBER,DEPENDENT_THOROUGHFARE,THOROUGHFARE,POST_TOWN,DOUBLE_DEPENDENT_LOCALITY,DEPENDENT_LOCALITY,POSTCODE,POSTCODE_TYPE,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE,RPC,COUNTRY,CHANGE_TYPE,LA_START_DATE,RM_START_DATE,LAST_UPDATE_DATE,CLASS,recnos
1441,100040210224,osgb1000002274382531,8782844,,,,,,8.0,,DANES ROAD,EXETER,,,EX4 4LS,S,292030.0,93332.0,50.729530100000005,-3.5311946000000005,1,E,I,2007-10-24,2012-03-19,2015-08-23,R,
2215,100040210217,osgb1000002274382639,8782784,,,,,,1.0,,DANES ROAD,EXETER,,,EX4 4LS,S,292014.0,93295.0,50.7291945,-3.5314102999999997,1,E,I,2007-10-24,2012-03-19,2015-08-23,R,
2562,100040210264,osgb1000002274362415,8782826,,,,,,48.0,,DANES ROAD,EXETER,,,EX4 4LS,S,291986.0,93422.0,50.730331,-3.5318442,1,E,I,2007-10-24,2012-03-19,2015-08-23,R,
2939,100040210277,osgb1000002274362422,8782841,,,,,,62.0,,DANES ROAD,EXETER,,,EX4 4LS,S,291969.0,93452.0,50.7305976,-3.5320937999999993,1,E,I,2007-10-24,2012-03-19,2015-08-23,R,
3002,100040210274,osgb1000002274362420,8782837,,,,,,58.0,,DANES ROAD,EXETER,,,EX4 4LS,S,291974.0,93444.0,50.7305266,-3.5320205999999996,1,E,I,2007-10-24,2012-03-19,2015-08-23,R,
3268,100040210250,osgb1000002274362488,8782811,,,,,,34.0,,DANES ROAD,EXETER,,,EX4 4LS,S,292003.0,93391.0,50.7300555,-3.5315943,1,E,I,2007-10-24,2012-03-19,2015-08-23,R,
3591,100040210272,osgb1000002274362419,8782835,,,,,,56.0,,DANES ROAD,EXETER,,,EX4 4LS,S,291976.0,93440.0,50.730491,-3.5319911,1,E,I,2007-10-24,2012-03-19,2015-08-23,R,
4197,100040210257,osgb1000002274362484,8782819,,,,,,41.0,,DANES ROAD,EXETER,,,EX4 4LS,S,291967.0,93395.0,50.7300848,-3.5321054,1,E,I,2007-10-24,2012-03-19,2015-08-23,R,
4572,100040210229,osgb1000002274362492,8782788,,,,,,13.0,,DANES ROAD,EXETER,,,EX4 4LS,S,292005.0,93336.0,50.7295614,-3.5315498,1,E,I,2007-10-24,2012-03-19,2015-08-23,R,
4818,100040210233,osgb1000002274362494,8782792,,,,,,17.0,,DANES ROAD,EXETER,,,EX4 4LS,S,291995.0,93343.0,50.7296225,-3.5316935,1,E,I,2007-10-24,2012-03-19,2015-08-23,R,
4819,100040210238,osgb1000002274382452,8782798,,,,,,22.0,,DANES ROAD,EXETER,,,EX4 4LS,S,292017.0,93365.0,50.7298244,-3.5313884,1,E,I,2007-10-24,2012-03-19,2015-08-23,R,
5087,100040210273,osgb1000002274362429,8782836,,,,,,57.0,,DANES ROAD,EXETER,,,EX4 4LS,S,291948.0,93430.0,50.7303959,-3.5323847,1,E,I,2007-10-24,2012-03-19,2015-08-23,R,
5319,100040210256,osgb1000002274362491,8782818,,,,,,40.0,,DANES ROAD,EXETER,,,EX4 4LS,S,291996.0,93404.0,50.7301711,-3.5316972,1,E,I,2007-10-24,2012-03-19,2015-08-23,R,
5880,100040210239,osgb1000002274362475,8782799,,,,,,23.0,,DANES ROAD,EXETER,,,EX4 4LS,S,291989.0,93355.0,50.729729299999995,-3.5317819999999998,1,E,I,2007-10-24,2012-03-19,2015-08-23,R,
6396,100040210218,osgb1000002274382528,8782795,,,,,,2.0,,DANES ROAD,EXETER,,,EX4 4LS,S,292034.0,93320.0,50.729423,-3.5311343999999996,1,E,I,2007-10-24,2012-03-19,2015-08-23,R,
6519,100040210220,osgb1000002274382529,8782817,,,,,,4.0,,DANES ROAD,EXETER,,,EX4 4LS,S,292033.0,93324.0,50.729458799999996,-3.5311497000000003,1,E,I,2007-10-24,2012-03-19,2015-08-23,R,
6633,100040210219,osgb1000002274382640,8782806,,,,,,3.0,,DANES ROAD,EXETER,,,EX4 4LS,S,292014.0,93301.0,50.7292485,-3.5314121,1,E,I,2007-10-24,2012-03-19,2015-08-23,R,
7215,100040210269,osgb1000002274362427,8782832,,,,,,53.0,,DANES ROAD,EXETER,,,EX4 4LS,S,291952.0,93421.0,50.7303157,-3.5323254,1,E,I,2007-10-24,2012-03-19,2015-08-23,R,
7300,100040210262,osgb1000002274362414,8782824,,,,,,46.0,,DANES ROAD,EXETER,,,EX4 4LS,S,291989.0,93417.0,50.73028660000001,-3.5318002,1,E,I,2007-10-24,2012-03-19,2015-08-23,R,
